Age ,Race Sex,Year,Survival
0,All,2015,100000
1,All,2015,99411
5,All,2015,99312
10,All,2015,99254
15,All,2015,99181
20,All,2015,98943
25,All,2015,98503
30,All,2015,97980
35,All,2015,97357
40,All,2015,96609
45,All,2015,95619
50,All,2015,94158
55,All,2015,91867
60,All,2015,88559
65,All,2015,84055
70,All,2015,78066
75,All,2015,69559
80,All,2015,57811
85,All,2015,42192
90,All,2015,24285
95,All,2015,9292
100,All,2015,1935
0,All Male,2015,100000
1,All Male,2015,99361
5,All Male,2015,99250
10,All Male,2015,99185
15,All Male,2015,99101
20,All Male,2015,98774
25,All Male,2015,98135
30,All Male,2015,97399
35,All Male,2015,96569
40,All Male,2015,95615
45,All Male,2015,94409
50,All Male,2015,92657
55,All Male,2015,89881
60,All Male,2015,85842
65,All Male,2015,80330
70,All Male,2015,73317
75,All Male,2015,63777
80,All Male,2015,51163
85,All Male,2015,35290
90,All Male,2015,18475
95,All Male,2015,6037
100,All Male,2015,999
0,All Female,2015,100000
1,All Female,2015,99462
5,All Female,2015,99376
10,All Female,2015,99326
15,All Female,2015,99265
20,All Female,2015,99121
25,All Female,2015,98891
30,All Female,2015,98591
35,All Female,2015,98179
40,All Female,2015,97640
45,All Female,2015,96867
50,All Female,2015,95700
55,All Female,2015,93895
60,All Female,2015,91312
65,All Female,2015,87800
70,All Female,2015,82827
75,All Female,2015,75340
80,All Female,2015,64422
85,All Female,2015,48948
90,All Female,2015,29772
95,All Female,2015,12204
100,All Female,2015,2724
0,White All,2015,100000
1,White All,2015,99508
5,White All,2015,99419
10,White All,2015,99365
15,White All,2015,99296
20,White All,2015,99072
25,White All,2015,98652
30,White All,2015,98137
35,White All,2015,97518
40,White All,2015,96782
45,White All,2015,95808
50,White All,2015,94374
55,White All,2015,92125
60,White All,2015,88900
65,White All,2015,84518
70,White All,2015,78581
75,White All,2015,70065
80,White All,2015,58217
85,White All,2015,42381
90,White All,2015,24255
95,White All,2015,9091
100,White All,2015,1809
0,White Male,2015,100000
1,White Male,2015,99467
5,White Male,2015,99368
10,White Male,2015,99307
15,White Male,2015,99228
20,White Male,2015,98928
25,White Male,2015,98328
30,White Male,2015,97612
35,White Male,2015,96794
40,White Male,2015,95862
45,White Male,2015,94674
50,White Male,2015,92952
55,White Male,2015,90218
60,White Male,2015,86274
65,White Male,2015,80922
70,White Male,2015,73995
75,White Male,2015,64463
80,White Male,2015,51743
85,White Male,2015,35608
90,White Male,2015,18550
95,White Male,2015,5895
100,White Male,2015,914
0,White Female,2015,100000
1,White Female,2015,99551
5,White Female,2015,99473
10,White Female,2015,99426
15,White Female,2015,99367
20,White Female,2015,99222
25,White Female,2015,98995
30,White Female,2015,98693
35,White Female,2015,98284
40,White Female,2015,97754
45,White Female,2015,96999
50,White Female,2015,95864
55,White Female,2015,94109
60,White Female,2015,91612
65,White Female,2015,88204
70,White Female,2015,83268
75,White Female,2015,75765
80,White Female,2015,64752
85,White Female,2015,49097
90,White Female,2015,29718
95,White Female,2015,11966
100,White Female,2015,2566
0,African American All,2015,100000
1,African American All,2015,98861
5,African American All,2015,98708
10,African American All,2015,98626
15,African American All,2015,98529
20,African American All,2015,98194
25,African American All,2015,97574
30,African American All,2015,96863
35,African American All,2015,96021
40,African American All,2015,94972
45,African American All,2015,93595
50,African American All,2015,91622
55,African American All,2015,88560
60,African American All,2015,84017
65,African American All,2015,77782
70,African American All,2015,70220
75,African American All,2015,60498
80,African American All,2015,48499
85,African American All,2015,34490
90,African American All,2015,20023
95,African American All,2015,8516
100,African American All,2015,2334
0,African American Male,2015,100000
1,African American Male,2015,98760
5,African American Male,2015,98580
10,African American Male,2015,98488
15,African American Male,2015,98373
20,African American Male,2015,97868
25,African American Male,2015,96926
30,African American Male,2015,95878
35,African American Male,2015,94720
40,African American Male,2015,93348
45,African American Male,2015,91674
50,African American Male,2015,89341
55,African American Male,2015,85685
60,African American Male,2015,80218
65,African American Male,2015,72521
70,African American Male,2015,63506
75,African American Male,2015,52519
80,African American Male,2015,39756
85,African American Male,2015,26155
90,African American Male,2015,13658
95,African American Male,2015,4982
100,African American Male,2015,1110
0,African American Female,2015,100000
1,African American Female,2015,98966
5,African American Female,2015,98840
10,African American Female,2015,98767
15,African American Female,2015,98691
20,African American Female,2015,98532
25,African American Female,2015,98247
30,African American Female,2015,97871
35,African American Female,2015,97329
40,African American Female,2015,96579
45,African American Female,2015,95473
50,African American Female,2015,93833
55,African American Female,2015,91320
60,African American Female,2015,87630
65,African American Female,2015,82709
70,African American Female,2015,76456
75,African American Female,2015,67857
80,African American Female,2015,56513
85,African American Female,2015,42015
90,African American Female,2015,25628
95,African American Female,2015,11474
100,African American Female,2015,3273
0,All,2000,100000
1,All,2000,99305
5,All,2000,99176
10,All,2000,99097
15,All,2000,98998
20,All,2000,98664
25,All,2000,98203
30,All,2000,97751
35,All,2000,97201
40,All,2000,96422
45,All,2000,95274
50,All,2000,93601
55,All,2000,91232
60,All,2000,87642
65,All,2000,82330
70,All,2000,74891
75,All,2000,64644
80,All,2000,50885
85,All,2000,34515
90,All,2000,18496
95,All,2000,6879
100,All,2000,1479
0,All Male,2000,100000
1,All Male,2000,99239
5,All Male,2000,99095
10,All Male,2000,99008
15,All Male,2000,98890
20,All Male,2000,98426
25,All Male,2000,97747
30,All Male,2000,97114
35,All Male,2000,96385
40,All Male,2000,95389
45,All Male,2000,93940
50,All Male,2000,91818
55,All Male,2000,88897
60,All Male,2000,84551
65,All Male,2000,78241
70,All Male,2000,69491
75,All Male,2000,57688
80,All Male,2000,42769
85,All Male,2000,26527
90,All Male,2000,12473
95,All Male,2000,3855
100,All Male,2000,645
0,All Female,2000,100000
1,All Female,2000,99375
5,All Female,2000,99261
10,All Female,2000,99190
15,All Female,2000,99111
20,All Female,2000,98915
25,All Female,2000,98682
30,All Female,2000,98418
35,All Female,2000,98052
40,All Female,2000,97493
45,All Female,2000,96648
50,All Female,2000,95425
55,All Female,2000,93609
60,All Female,2000,90767
65,All Female,2000,86433
70,All Female,2000,80219
75,All Female,2000,71311
80,All Female,2000,58455
85,All Female,2000,41830
90,All Female,2000,23936
95,All Female,2000,9560
100,All Female,2000,2183
0,White All,2000,100000
1,White All,2000,99429
5,White All,2000,99313
10,White All,2000,99239
15,White All,2000,99146
20,White All,2000,98826
25,White All,2000,98406
30,White All,2000,98000
35,White All,2000,97506
40,White All,2000,96799
45,White All,2000,95759
50,White All,2000,94242
55,White All,2000,92050
60,White All,2000,88655
65,White All,2000,83518
70,White All,2000,76219
75,White All,2000,66022
80,White All,2000,52160
85,White All,2000,35461
90,White All,2000,18964
95,White All,2000,6971
100,White All,2000,1454
0,White Male,2000,100000
1,White Male,2000,99373
5,White Male,2000,99243
10,White Male,2000,99163
15,White Male,2000,99052
20,White Male,2000,98616
25,White Male,2000,98003
30,White Male,2000,97436
35,White Male,2000,96774
40,White Male,2000,95859
45,White Male,2000,94530
50,White Male,2000,92588
55,White Male,2000,89883
60,White Male,2000,85773
65,White Male,2000,79657
70,White Male,2000,71039
75,White Male,2000,59245
80,White Male,2000,44121
