Age ,Race Sex,2015,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900
0,All,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,All,99411,99305,99064,98740,97998,97407,97024,95290,94028,92515,88538,87552
5,All,99312,99176,98877,98495,97668,96998,96482,94220,91978,83389,83887,81804
10,All,99254,99097,98766,98347,97460,96765,96177,93710,91106,88129,82458,80052
15,All,99181,98998,98635,98196,97261,96551,95885,93235,90385,87144,81506,78963
20,All,98943,98664,98215,97741,96716,96111,95366,92435,89089,85441,80074,77239
25,All,98503,98203,97671,97110,96000,95517,94676,91335,87269,83146,78046,74768
30,All,97980,97751,97070,96477,95307,94905,93919,90078,85302,80642,75779,72043
35,All,97357,97201,96322,95808,94482,94144,92976,88573,83118,77961,73127,69078
40,All,96609,96422,95373,94926,93322,93064,91648,86650,80557,75114,70042,65890
45,All,95619,95274,94154,93599,91587,91378,89634,84069,77343,72036,66561,62436
50,All,94158,93601,92370,91526,88972,88756,86591,80487,73321,68429,62460,58514
55,All,91867,91232,89658,88348,85110,84711,82176,75557,68182,63947,57555,53852
60,All,88559,87642,85537,83726,79529,79067,75921,68924,61563,58079,51138,47946
65,All,84055,82330,79519,77107,71933,71147,67555,60366,53195,50560,43194,40911
70,All,78066,74891,71357,68248,61984,60857,56987,49655,42768,41090,33816,32390
75,All,69559,64644,60449,56799,49705,48170,43903,36735,30789,29729,23552,22960
80,All,57811,50885,47084,43180,35285,33576,29313,22883,18580,18298,13712,13529
85,All,42192,34515,31770,27960,20908,18542,15785,11073,8542,8683,6001,6053
90,All,24285,18496,17046,14154,9297,7080,6144,3796,2998,2941,1868,1867
95,All,9292,6879,6282,5043,2786,1524,1511,857,636,646,361,344
100,All,1935,1479,1424,1150,542,183,199,123,62,67,40,31
0,All Male,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,All Male,99361,99239,98961,98607,97755,97087,96661,94762,93440,91745,87505,86426
5,All Male,99250,99095,98754,98333,97395,96643,96077,93624,91294,88505,82718,80548
10,All Male,99185,99008,98627,98160,97151,96375,95726,93054,90346,87184,81249,78775
15,All Male,99101,98890,98464,97972,96904,96107,95366,92508,89561,86156,80261,77681
20,All Male,98774,98426,97854,97316,96126,95491,94695,91617,88220,84440,78792,75984
25,All Male,98135,97747,97049,96361,95040,94631,93791,90385,86359,82252,76675,73472
30,All Male,97399,97114,96166,95430,94072,93826,92861,89009,84346,79890,74378,70747
35,All Male,96569,96385,95091,94501,92997,92889,91760,87371,82075,77514,71614,67752
40,All Male,95615,95389,93761,93345,91541,91572,90207,85246,79357,74432,68297,64447
45,All Male,94409,93940,92139,91649,89369,89492,87819,82336,75882,71244,64518,60849
50,All Male,92657,91818,89865,89007,86070,86199,84158,78254,71518,67553,60118,56736
55,All Male,89881,88897,86492,84936,81139,81039,78781,72627,65981,62965,54970,51939
60,All Male,85842,84551,81378,79012,73958,73887,71246,65142,58909,56917,48343,45895
65,All Male,80330,78241,73971,70646,64318,64177,61566,55776,50154,49218,40264,38736
70,All Male,73317,69491,64107,59681,52296,52244,49950,44588,39516,39668,31023,30217
75,All Male,63777,57688,51385,46272,38797,38950,36756,31864,27718,28316,21213,21076
80,All Male,51163,42769,36749,31810,24921,25300,25237,18995,16172,17128,11942,12084
85,All Male,35290,26527,21815,18020,13168,12845,11750,8693,7107,7920,5059,5179
90,All Male,18475,12473,9878,7732,5107,4609,4197,2787,2283,2527,1502,1508
95,All Male,6037,3855,2927,2279,1326,970,955,586,451,556,289,262
100,All Male,999,645,529,423,222,117,121,78,40,62,33,22
0,All Female,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,All Female,99462,99375,99172,98880,98254,97744,97406,95848,94728,93383,89623,88733
5,All Female,99376,99261,99006,98666,97955,97371,96908,94848,92789,90380,85117,83119
10,All Female,99326,99190,98911,98544,97784,97173,96652,94402,92008,89186,83728,81390
15,All Female,99265,99111,98814,98432,97636,97016,96431,94000,91364,88247,82813,80307
20,All Female,99121,98915,98597,98184,97331,96756,96066,93293,90116,86556,81418,78555
25,All Female,98891,98682,98325,97883,96966,96418,95583,92322,88328,84135,79481,76119
30,All Female,98591,98418,98013,97551,96544,95996,94933,91182,86398,81463,77247,73394
35,All Female,98179,98052,97596,97140,95966,95409,94206,89810,84304,78713,74719,70463
40,All Female,97640,97493,97033,96531,95097,94560,93101,88092,81927,75907,71894,67407
45,All Female,96867,96648,96222,95570,93793,93265,91469,85856,79041,72954,68755,64121
50,All Female,"95,700",95425,94932,94060,91852,91327,89075,82828,75456,69452,65001,60415
55,All Female,"93,895",93609,92881,91760,89066,88451,85694,78708,70832,65099,60392,55908
60,All Female,"91,312",90767,89742,88414,85139,84430,80890,73093,64795,59438,54226,50155
65,All Female,"87,800",86433,85075,83520,79698,78462,74119,65523,56924,52126,46438,43246
70,All Female,"82,827",80219,78522,76720,71955,70100,64873,55449,46774,42741,36916,34721
75,All Female,"75,340",71311,69287,67186,61107,58394,52111,42425,34600,31344,26155,24994
80,All Female,"64,422",58455,56986,54372,46445,43063,36486,27524,21578,19613,15682,15129
85,All Female,"48,948",41830,41115,37772,29538,25269,20668,13972,10322,9515,7051,7063
90,All Female,"29,772",23936,23666,20578,14160,10056,8548,5044,3656,3314,2269,2306
95,All Female,"12,204",9560,9346,7862,4565,2193,2207,1195,807,728,441,452
100,All Female,"2,724",2183,2251,1927,954,264,298,179,82,72,49,43
0,White All,"100,000",100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,White All,"99,508",99429,99233,98898,98224,97714,97278,95685,94392,92780,88709,87762
5,White All,"99,419",99313,99068,98675,97930,97353,96790,94713,92466,89771,84147,82071
